,Unnamed: 0,TEAM_ID,ABBREVIATION,NICKNAME,YEARFOUNDED,CITY,ARENA,ARENACAPACITY,OWNER,GENERALMANAGER,HEADCOACH,DLEAGUEAFFILIATION
0,0,1610612737,ATL,Hawks,1949,Atlanta,State Farm Arena,18729.0,Tony Ressler,Travis Schlenk,Lloyd Pierce,Erie Bayhawks
0,0,1610612738,BOS,Celtics,1946,Boston,TD Garden,18624.0,Wyc Grousbeck,Danny Ainge,Brad Stevens,Maine Red Claws
0,0,1610612739,CLE,Cavaliers,1970,Cleveland,Quicken Loans Arena,20562.0,Dan Gilbert,Koby Altman,Larry Drew,Canton Charge
0,0,1610612740,NOP,Pelicans,2002,New Orleans,Smoothie King Center,,Tom Benson,Dell Demps,Alvin Gentry,No Affiliate
0,0,1610612741,CHI,Bulls,1966,Chicago,United Center,21711.0,Jerry Reinsdorf,Gar Forman,Jim Boylen,Windy City Bulls
0,0,1610612742,DAL,Mavericks,1980,Dallas,American Airlines Center,19200.0,Mark Cuban,Donnie Nelson,Rick Carlisle,Texas Legends
0,0,1610612743,DEN,Nuggets,1976,Denver,Pepsi Center,19099.0,Stan Kroenke,Tim Connelly,Michael Malone,No Affiliate
0,0,1610612744,GSW,Warriors,1946,Golden State,ORACLE Arena,19596.0,Joe Lacob,Bob Myers,Steve Kerr,Santa Cruz Warriors
0,0,1610612745,HOU,Rockets,1967,Houston,Toyota Center,18104.0,Tilman Fertitta,Daryl Morey,Mike D'Antoni,Rio Grande Valley Vipers
0,0,1610612746,LAC,Clippers,1970,Los Angeles,Staples Center,19060.0,Steve Ballmer,Michael Winger,Doc Rivers,Agua Caliente Clippers of Ontario
0,0,1610612747,LAL,Lakers,1948,Los Angeles,Staples Center,19060.0,Jerry Buss Family Trust,Rob Pelinka,Luke Walton,South Bay Lakers
0,0,1610612748,MIA,Heat,1988,Miami,AmericanAirlines Arena,19600.0,Micky Arison,Pat Riley,Erik Spoelstra,Sioux Falls Skyforce
0,0,1610612750,MIN,Timberwolves,1989,Minnesota,Target Center,19356.0,Glen Taylor,Scott Layden,Ryan Saunders,Iowa Wolves
0,0,1610612751,BKN,Nets,1976,Brooklyn,Barclays Center,,Mikhail Prokhorov,Sean Marks,Kenny Atkinson,Long Island Nets
0,0,1610612752,NYK,Knicks,1946,New York,Madison Square Garden,19763.0,Cablevision (James Dolan),Steve Mills,David Fizdale,Westchester Knicks
0,0,1610612753,ORL,Magic,1989,Orlando,Amway Center,0.0,Rick DeVos,John Hammond,Steve Clifford,Lakeland Magic
0,0,1610612754,IND,Pacers,1976,Indiana,Bankers Life Fieldhouse,18345.0,Herb Simon,Kevin Pritchard,Nate McMillan,Fort Wayne Mad Ants
0,0,1610612755,PHI,76ers,1949,Philadelphia,Wells Fargo Center,,Joshua Harris, ,Brett Brown,Delaware Blue Coats
0,0,1610612756,PHX,Suns,1968,Phoenix,Talking Stick Resort Arena,,Robert Sarver,Ryan McDonough,Igor Kokoskov,Northern Arizona Suns
0,0,1610612757,POR,Trail Blazers,1970,Portland,Moda Center,19980.0,Paul Allen,Neil Olshey,Terry Stotts,No Affiliate
0,0,1610612758,SAC,Kings,1948,Sacramento,Golden 1 Center,17500.0,Vivek Ranadive,Vlade Divac,David Joerger,Stockton Kings
0,0,1610612759,SAS,Spurs,1976,San Antonio,AT&T Center,18694.0,Peter Holt,R. C. Buford,Gregg Popovich,Austin Spurs
0,0,1610612760,OKC,Thunder,1967,Oklahoma City,Chesapeake Energy Arena,19163.0,Clay Bennett,Sam Presti,Billy Donovan,Oklahoma City Blue
0,0,1610612749,MIL,Bucks,1968,Milwaukee,Fiserv Forum,17500.0,Wesley Edens &Â Marc Lasry,Jon Horst,Mike Budenholzer,Wisconsin Herd
0,0,1610612762,UTA,Jazz,1974,Utah,Vivint Smart Home Arena,20148.0,Greg Miller,Dennis Lindsey,Quin Snyder,Salt Lake City Stars
0,0,1610612763,MEM,Grizzlies,1995,Memphis,FedExForum,18119.0,Robert Pera,Chris Wallace,JB Bickerstaff,Memphis Hustle
0,0,1610612764,WAS,Wizards,1961,Washington,Capital One Arena,20647.0,Ted Leonsis,Ernie Grunfeld,Scott Brooks,Capital City Go-Go
0,0,1610612765,DET,Pistons,1948,Detroit,Little Caesars Arena,21000.0,Tom Gores,Jeff Bower,Dwane Casey,Grand Rapids Drive
0,0,1610612766,CHA,Hornets,1988,Charlotte,Spectrum Center,19026.0,Michael Jordan,Mitch Kupchak,James Borrego,Greensboro Swarm
0,0,1610612761,TOR,Raptors,1995,Toronto,Scotiabank Arena,19800.0,Maple Leaf Sports and Entertainment,Masai Ujiri,Nick Nurse,Raptors 905
